Date,Open,High,Low,Close,Volume,Adj Close
2016-11-09,212.369995,217.100006,212.339996,216.380005,258429000,214.18034
2016-11-10,217.300003,218.309998,215.220001,216.919998,172113300,214.714843
2016-11-11,216.080002,216.699997,215.320007,216.419998,100552700,214.219926
2016-11-14,217.029999,217.270004,215.720001,216.589996,94580000,214.388196
2016-11-15,217.039993,218.279999,216.800003,218.279999,91652600,216.061019
2016-11-16,217.559998,218.139999,217.419998,217.869995,65617700,215.655183
2016-11-17,218.050003,219.059998,217.919998,218.990005,69797200,216.763808
2016-11-18,219.070007,219.270004,218.289993,218.5,86265800,216.278783
2016-11-21,219.169998,220.179993,219,220.149994,72402600,217.912004
2016-11-22,220.509995,220.789993,219.729996,220.580002,67429000,218.33764
2016-11-23,219.979996,220.759995,219.75,220.699997,56620200,218.456416
2016-11-25,221.100006,221.559998,221.009995,221.520004,37872300,219.268087
2016-11-28,221.160004,221.479996,220.360001,220.479996,76572500,218.238651
2016-11-29,220.520004,221.440002,220.169998,220.910004,69886700,218.664288
2016-11-30,221.630005,221.820007,220.309998,220.380005,113291800,218.139677
2016-12-01,220.729996,220.729996,219.149994,219.570007,79040500,217.337913
2016-12-02,219.669998,220.25,219.259995,219.679993,74840300,217.446781
2016-12-05,220.649994,221.399994,220.419998,221,67837800,218.753369
2016-12-06,221.220001,221.740005,220.660004,221.699997,59877400,219.44625
2016-12-07,221.520004,224.669998,221.380005,224.600006,110738100,222.316778
2016-12-08,224.570007,225.699997,224.259995,225.149994,99714400,222.861175
2016-12-09,225.410004,226.529999,225.369995,226.509995,88005800,224.20735
2016-12-12,226.399994,226.960007,225.759995,226.25,102016100,223.949999
2016-12-13,227.020004,228.339996,227,227.759995,110477500,225.444643
2016-12-14,227.410004,228.229996,225.369995,225.880005,142501800,223.583765
2016-12-15,226.160004,227.809998,225.889999,226.809998,124972600,224.504304
2016-12-16,226.009995,226.080002,224.669998,225.039993,156420200,224.065213
2016-12-19,225.25,226.020004,225.080002,225.529999,90341100,224.553096
2016-12-20,226.149994,226.570007,225.880005,226.399994,89838800,225.419322
2016-12-21,226.25,226.449997,225.770004,225.770004,67909000,224.792061
2016-12-22,225.600006,225.740005,224.919998,225.380005,56219100,224.403751
2016-12-23,225.429993,225.720001,225.210007,225.710007,36697800,224.732324
2016-12-27,226.020004,226.729996,226,226.270004,42672500,225.289896
2016-12-28,226.570007,226.589996,224.270004,224.399994,64095000,223.427985
2016-12-29,224.479996,224.889999,223.839996,224.350006,48696100,223.378214
2016-12-30,224.729996,224.830002,222.729996,223.529999,108998300,222.561759
2017-01-03,225.039993,225.830002,223.880005,225.240005,91366500,224.264358
2017-01-04,225.619995,226.75,225.610001,226.580002,78744400,225.59855
2017-01-05,226.270004,226.580002,225.479996,226.399994,78379000,225.419322
2017-01-06,226.529999,227.75,225.899994,227.210007,71559900,226.225826
2017-01-09,226.910004,227.070007,226.419998,226.460007,46265300,225.479075
2017-01-10,226.479996,227.449997,226.009995,226.460007,63771900,225.479075
2017-01-11,226.360001,227.100006,225.589996,227.100006,74650000,226.116302
2017-01-12,226.5,226.75,224.960007,226.529999,72113200,225.548764
2017-01-13,226.729996,227.399994,226.690002,227.050003,62717900,226.066516
2017-01-17,226.309998,226.779999,225.800003,226.25,61240800,225.269978
2017-01-18,226.539993,226.800003,225.899994,226.75,54793300,225.767812
2017-01-19,226.839996,227,225.410004,225.910004,66608800,224.931454
2017-01-20,226.699997,227.309998,225.970001,226.740005,129168600,225.757861
2017-01-23,226.740005,226.809998,225.270004,226.149994,75061600,225.170405
2017-01-24,226.399994,228.080002,226.270004,227.600006,95555300,226.614136
2017-01-25,228.699997,229.570007,228.509995,229.570007,84437700,228.575604
2017-01-26,229.399994,229.710007,229.009995,229.330002,59970700,228.336639
2017-01-27,229.419998,229.589996,228.759995,228.970001,59711100,227.978197
2017-01-30,228.169998,228.199997,226.410004,227.550003,79737300,226.56435
2017-01-31,226.979996,227.600006,226.320007,227.529999,75880800,226.544432
2017-02-01,227.529999,228.589996,226.940002,227.619995,79117700,226.634039
2017-02-02,227.619995,228.100006,226.820007,227.770004,69657600,226.783398
2017-02-03,228.820007,229.550003,228.460007,229.339996,80563200,228.34659
2017-02-06,228.869995,229.330002,228.539993,228.929993,57790100,227.938362
2017-02-07,229.380005,229.660004,228.720001,228.940002,57931200,227.948329
2017-02-08,228.940002,229.389999,228.309998,229.240005,51566200,228.247032
2017-02-09,229.240005,230.949997,229.240005,230.600006,65955200,229.601142
2017-02-10,231,231.770004,230.619995,231.509995,66015900,230.507188
2017-02-13,232.080002,233.070007,232.050003,232.770004,55182100,231.76174
2017-02-14,232.559998,233.710007,232.160004,233.699997,71109000,232.687705
2017-02-15,233.449997,235.139999,233.389999,234.919998,86785800,233.902421
2017-02-16,234.949997,235.160004,233.850006,234.720001,84722400,233.703291
2017-02-17,233.949997,235.089996,233.929993,235.089996,77204100,234.071683
2017-02-21,235.520004,236.690002,235.509995,236.490005,88946100,235.465628
2017-02-22,236.020004,236.539993,235.830002,236.279999,62115200,235.256531
2017-02-23,236.880005,236.899994,235.559998,236.440002,74615900,235.415842
2017-02-24,235.460007,236.789993,235.410004,236.740005,82381600,235.714545
2017-02-27,236.639999,237.309998,236.350006,237.110001,56515400,236.082938
2017-02-28,236.669998,236.949997,236.020004,236.470001,96961900,235.44571
2017-03-01,238.389999,240.320007,238.369995,239.779999,149158200,238.74137
2017-03-02,239.559998,239.570007,238.210007,238.270004,70246000,237.237917
2017-03-03,238.169998,238.610001,237.729996,238.419998,81974300,237.387261
2017-03-06,237.5,238.119995,237.009995,237.710007,55391500,236.680345
2017-03-07,237.360001,237.770004,236.759995,237,65103700,235.973413
2017-03-08,237.339996,237.639999,236.399994,236.559998,78168800,235.535317
2017-03-09,236.699997,237.240005,235.740005,236.860001,90683900,235.83402
2017-03-10,237.970001,238.020004,236.589996,237.690002,81991700,236.660427
2017-03-13,237.619995,237.860001,237.240005,237.809998,57256800,236.779902
2017-03-14,237.179993,237.240005,236.190002,236.899994,59880800,235.873841
2017-03-15,237.559998,239.440002,237.289993,238.949997,96081800,237.914964
2017-03-16,239.110001,239.199997,238.100006,238.479996,78344000,237.446998
2017-03-17,237.75,237.970001,237.029999,237.029999,89002100,237.029999
2017-03-20,237.029999,237.360001,236.320007,236.770004,52537000,236.770004
2017-03-21,237.470001,237.610001,233.580002,233.729996,131809300,233.729996
2017-03-22,233.770004,234.610001,233.050003,234.279999,97569200,234.279999
2017-03-23,234.279999,235.339996,233.600006,234.029999,100410300,234.029999
2017-03-24,234.380005,235.039993,232.960007,233.860001,112504900,233.860001
2017-03-27,231.929993,233.919998,231.610001,233.619995,87454500,233.619995
2017-03-28,233.270004,235.809998,233.139999,235.320007,93483900,235.320007
2017-03-29,234.990005,235.809998,234.729996,235.539993,61950400,235.539993
2017-03-30,235.470001,236.520004,235.270004,236.289993,56737900,236.289993
2017-03-31,235.899994,236.509995,235.679993,235.740005,73733100,235.740005
2017-04-03,235.800003,236.029999,233.910004,235.330002,85546500,235.330002
2017-04-04,235,235.580002,234.559998,235.479996,56466200,235.479996
2017-04-05,236.259995,237.389999,234.539993,234.779999,108800600,234.779999
2017-04-06,234.940002,236.039993,234.429993,235.440002,69135800,235.440002
2017-04-07,235.149994,236,234.639999,235.199997,74412300,235.199997
2017-04-10,235.360001,236.259995,234.729996,235.339996,67615300,235.339996
2017-04-11,234.899994,235.179993,233.339996,235.059998,85727700,235.059998
2017-04-12,234.740005,234.960007,233.770004,234.029999,76322100,234.029999
2017-04-13,233.639999,234.490005,232.509995,232.509995,83019800,232.509995
